MEAN_POS_X,MEAN_POS_Y,MEAN_POS_Z,MEAN_ACC_X,MEAN_ACC_Y,MEAN_ACC_Z,MEAN_LINACC_X,MEAN_LINACC_Y,MEAN_LINACC_Z,MEAN_GYRO_X,MEAN_GYRO_Y,MEAN_GYRO_Z,MEAN_Heading,MEAN_Roll,MEAN_Pitch,MEAN_Pressure,MEDIAN_POS_X,MEDIAN_POS_Y,MEDIAN_POS_Z,MEDIAN_ACC_X,MEDIAN_ACC_Y,MEDIAN_ACC_Z,MEDIAN_LINACC_X,MEDIAN_LINACC_Y,MEDIAN_LINACC_Z,MEDIAN_GYRO_X,MEDIAN_GYRO_Y,MEDIAN_GYRO_Z,MEDIAN_Heading,MEDIAN_Roll,MEDIAN_Pitch,MEDIAN_Pressure,STD_POS_X,STD_POS_Y,STD_POS_Z,STD_ACC_X,STD_ACC_Y,STD_ACC_Z,STD_LINACC_X,STD_LINACC_Y,STD_LINACC_Z,STD_GYRO_X,STD_GYRO_Y,STD_GYRO_Z,STD_Heading,STD_Roll,STD_Pitch,STD_Pressure,MODE_POS_X,MODE_POS_Y,MODE_POS_Z,MODE_ACC_X,MODE_ACC_Y,MODE_ACC_Z,MODE_LINACC_X,MODE_LINACC_Y,MODE_LINACC_Z,MODE_GYRO_X,MODE_GYRO_Y,MODE_GYRO_Z,MODE_Heading,MODE_Roll,MODE_Pitch,MODE_Pressure,MAX_POS_X,MAX_POS_Y,MAX_POS_Z,MAX_ACC_X,MAX_ACC_Y,MAX_ACC_Z,MAX_LINACC_X,MAX_LINACC_Y,MAX_LINACC_Z,MAX_GYRO_X,MAX_GYRO_Y,MAX_GYRO_Z,MAX_Heading,MAX_Roll,MAX_Pitch,MAX_Pressure,MIN_POS_X,MIN_POS_Y,MIN_POS_Z,MIN_ACC_X,MIN_ACC_Y,MIN_ACC_Z,MIN_LINACC_X,MIN_LINACC_Y,MIN_LINACC_Z,MIN_GYRO_X,MIN_GYRO_Y,MIN_GYRO_Z,MIN_Heading,MIN_Roll,MIN_Pitch,MIN_Pressure,LOCATION,ACTIVITY
9646.04375,3115.7857186155316,799.653125654565,-552.25,-685.03125,-412.75,57.03125,-51.15625,-89.71875,1.76953125,27.673828125,-1.4453125,98.169921875,-37.66796875,115.95703125,94730.8984375,9626.725,3114.4333395942904,775.7432580767419,-494.0,-655.5,-538.5,72.5,-32.0,-88.5,7.03125,33.8125,-6.78125,97.03125,-40.53125,121.75,94730.0,80.47439259107965,40.97885976592978,86.61999229401252,319.4007493880962,455.09669191495504,568.4158518595002,288.1639860615883,412.4578656389273,437.14574482401395,43.62017152980161,178.0621343042298,51.3093449434723,23.99440897144293,10.00889772373328,21.567028144809196,3.105574705917128,9600.0,3100.0,750.0,-425.0,-1497.0,-1278.0,211.0,-732.0,-941.0,-78.25,-290.6875,-95.375,57.125,-51.0,116.6875,94730.0,9795.75,3202.4212007376545,1006.2390502664566,54.0,129.0,765.0,700.0,712.0,929.0,84.8125,406.6875,100.1875,160.875,-17.5,143.9375,94734.75,9494.85,3010.65,685.4903012927355,-1439.0,-1497.0,-1278.0,-563.0,-732.0,-941.0,-78.25,-290.6875,-95.375,57.125,-51.0,75.1875,94726.0,kitchen_sink,WASHHANDS
9645.853030303031,3194.6037705447347,978.0503430220837,-542.030303030303,-676.6060606060606,-420.1818181818182,15.666666666666666,-9.424242424242424,-109.63636363636364,-7.073863636363637,16.359848484848484,1.9924242424242424,98.20075757575758,-34.10795454545455,112.65530303030303,94732.93181818182,9646.05,3202.4212007376545,1006.2390502664566,-501.0,-683.0,-583.0,30.0,25.0,-104.0,-10.75,-0.75,-3.0,96.5,-38.0625,112.4375,94733.0,49.7568053438954,89.30059884345278,185.90114358299704,310.48847450916804,469.2373426232414,555.0656185615273,268.0179176224356,430.8856453793041,401.00232372938143,32.31462855108946,194.14323692301278,51.626789366253625,29.014719449283735,10.169537854669542,25.834325675512186,2.8022540643041434,9650.0,3100.0,750.0,-513.0,-1497.0,-1278.0,30.0,-732.0,-941.0,-65.6875,-290.6875,-77.6875,57.125,-47.3125,74.625,94730.0,9728.9,3315.371463697835,1231.3612273204483,-71.0,129.0,771.0,546.0,712.0,723.0,51.8125,406.6875,100.375,160.875,-17.5,146.5625,94736.75,9494.85,3063.5832081142,722.3737676802518,-1439.0,-1497.0,-1278.0,-563.0,-732.0,-941.0,-65.6875,-290.6875,-77.6875,57.125,-47.3125,74.625,94729.5,kitchen_sink,WASHHANDS
9687.819696969698,3286.8945663175023,1119.7787716140713,-522.8484848484849,-547.8484848484849,-474.72727272727275,22.515151515151516,48.27272727272727,-15.06060606060606,-7.740530303030303,-9.795454545454545,-2.577651515151515,101.64204545454545,-33.78219696969697,126.06060606060606,94735.21212121213,9678.75,3290.436363636364,1134.7081531612707,-502.0,-484.0,-495.0,27.0,54.0,85.0,-2.125,-24.1875,-0.625,106.3125,-37.1875,135.5625,94735.25,46.34865144241327,28.397687339799663,57.658133917710224,339.95423600207954,471.85439499463985,435.0768806147421,342.64496213392306,419.3890104013868,366.68574244456414,44.37278306855513,162.66002882912935,45.82752309074292,32.451083502559,9.346416336907051,23.022553293848343,2.2845619897145464,9700.0,3300.0,1150.0,-1420.0,-266.0,-1264.0,-749.0,-709.0,-724.0,-73.75,-265.4375,-77.6875,65.875,-47.3125,74.625,94734.75,9804.35,3320.371487603306,1231.3612273204483,188.0,191.0,771.0,715.0,721.0,713.0,87.375,324.625,100.375,171.125,-17.5625,150.8125,94738.75,9591.85,3203.2712007376545,1023.3333510841845,-1420.0,-1461.0,-1264.0,-749.0,-709.0,-724.0,-73.75,-265.4375,-77.6875,61.375,-47.3125,74.625,94729.5,kitchen_sink,WASHHANDS
9703.6921875,3294.0666967975208,1098.3739284858143,-518.5625,-548.6875,-525.5,41.875,40.625,-31.53125,0.94921875,-29.017578125,-5.666015625,116.62890625,-34.017578125,127.96484375,94732.78125,9703.175,3305.260743801653,1099.5028974667498,-529.5,-643.5,-470.0,30.5,52.0,-33.5,1.5625,-23.40625,-6.40625,127.03125,-35.65625,136.125,94735.5,44.64801789007102,33.790073921531146,58.22926390208624,289.9810825309238,368.15568564259297,349.3060401387576,307.8762581339793,323.1597777191398,288.7444438091323,48.892408410472186,135.78754774861505,37.924208855057294,36.30603614357631,7.499365470049917,21.050899202477382,7.241722193137531,9700.0,3300.0,1100.0,-486.0,-709.0,-1264.0,86.0,54.0,-724.0,-73.75,-52.25,-68.875,63.6875,-35.75,77.6875,94718.75,9804.35,3336.535123966942,1197.7585097093256,188.0,191.0,-5.0,715.0,721.0,473.0,87.375,270.1875,72.0,171.125,-23.0625,150.8125,94738.75,9610.05,3202.5,970.0136317074887,-1420.0,-1350.0,-1264.0,-749.0,-709.0,-724.0,-73.75,-316.375,-68.875,63.6875,-47.0,77.6875,94718.75,kitchen_sink,WASHHANDS
9698.735937499998,3225.415484128475,820.5773166770707,-600.03125,-751.15625,15.84375,5.09375,22.90625,-10.53125,3.720703125,2.275390625,0.794921875,129.291015625,-36.701171875,87.7890625,94724.9375,9697.55,3227.817561983471,743.3734974264855,-601.5,-841.5,-50.0,-9.5,-63.0,-73.5,5.125,-23.46875,5.90625,122.34375,-37.125,86.0625,94723.375,65.10018982477528,44.95842677054362,184.55995494671564,182.90513747436438,350.01659954876055,321.41362250824244,168.84701213839858,329.1971033634762,273.21986707801653,17.248224724385206,87.91566428720328,34.87099003703587,13.039241809224393,2.723328059471728,12.325094365110191,5.530341528274256,9700.0,3250.0,650.0,-957.0,-1336.0,-50.0,76.0,-537.0,-461.0,-9.75,-149.75,-51.875,116.875,-38.3125,73.8125,94720.5,9836.05,3315.3807287753566,1396.1719728819894,-220.0,-211.0,619.0,337.0,523.0,559.0,39.9375,235.25,62.0625,151.1875,-31.375,110.0625,94731.75,9552.45,3150.992561983471,625.925022489753,-957.0,-1336.0,-558.0,-374.0,-537.0,-461.0,-30.8125,-149.75,-51.875,115.3125,-41.375,72.5625,94715.5,kitchen_sink,WASHHANDS
9633.309677419356,3268.184011536318,1783.6945167519461,-610.9677419354839,-690.1290322580645,-181.32258064516128,-16.64516129032258,27.193548387096776,-45.61290322580645,1.9616935483870968,30.149193548387096,4.842741935483871,143.04637096774192,-36.38508064516129,99.80040322580645,94725.57258064517,9640.6,3276.580728775357,1396.1719728819894,-621.0,-672.0,-294.0,-20.0,21.0,-83.0,-1.0,11.1875,9.3125,144.1875,-37.125,99.6875,94728.0,42.6252574173161,41.10590209941769,1214.1169682247507,168.25545734011476,272.3623495683014,378.8834813938426,155.94818549486166,245.2686172824724,223.47836247525993,15.517762649985672,85.7698465817754,27.882780448953007,24.258439080028673,3.800633745611325,23.038907418545755,6.140776806312555,9650.0,3300.0,650.0,-930.0,-760.0,-656.0,-152.0,117.0,-387.0,-9.75,-130.375,-48.125,116.875,-38.75,73.8125,94720.5,9707.3,3321.3807287753566,4167.427272727273,-304.0,-211.0,557.0,334.0,523.0,464.0,37.25,235.25,59.1875,180.6875,-28.4375,130.1875,94731.75,9543.6,3170.842561983471,625.925022489753,-930.0,-1332.0,-656.0,-272.0,-489.0,-387.0,-25.0,-130.375,-48.125,115.3125,-41.875,72.5625,94715.5,kitchen_sink,WASHHANDS
9600.579032258067,3237.7241159933105,3669.812041921905,-609.4193548387096,-634.0967741935484,-431.7096774193548,-2.3870967741935485,39.354838709677416,-80.16129032258064,-3.0725806451612905,-20.983870967741936,-1.5423387096774193,159.5040322580645,-37.439516129032256,115.44556451612904,94727.08870967742,9604.1,3240.9,4309.777272727273,-611.0,-644.0,-480.0,-17.0,38.0,-85.0,-4.1875,2.5,2.3125,163.25,-38.75,119.1875,94727.25,47.62703149506861,58.90611895351936,980.1705104264664,169.10229136897158,123.95976627887768,220.38136544762386,191.6181406546807,109.31744245913573,125.74474058562542,18.675958648798,151.66829466366,24.896433328352842,15.01465374056041,4.769791112623751,13.72357064065443,3.8403278869869815,9600.0,3300.0,4400.0,-372.0,-820.0,-792.0,-152.0,117.0,-334.0,-42.75,-384.75,-54.875,163.4375,-42.25,118.875,94727.25,9662.4,3321.3807287753566,4512.171561182483,-304.0,-404.0,73.0,341.0,234.0,251.0,37.25,239.5625,37.0,180.6875,-28.4375,130.25,94731.75,9473.7,3146.4,1585.2249584980818,-936.0,-838.0,-792.0,-340.0,-158.0,-334.0,-42.75,-384.75,-54.875,122.0,-45.75,84.0,94715.5,kitchen_sink,WASHHANDS
9550.2296875,3158.756078606311,4397.486940409746,-646.25,-640.25,-351.84375,-7.5625,38.15625,-89.53125,-2.4375,-30.83984375,-4.9609375,150.208984375,-40.388671875,109.95703125,94731.078125,9584.224999999999,3160.4099924868524,4384.447380742881,-671.0,-646.0,-340.5,-14.5,23.5,-105.5,-3.90625,-29.1875,-5.3125,151.875,-41.21875,113.28125,94727.25,85.11457918724477,43.053960757725605,52.528927797283956,158.90593687522676,110.6304513874618,256.2741865060834,192.3382332448282,105.8514203281367,118.45401567969387,27.436060198096015,192.9482245924069,30.39166686475996,15.529649462988415,4.09122088136918,14.211033997327059,6.003842015877242,9600.0,3150.0,4350.0,-459.0,-646.0,-792.0,-400.0,-153.0,-334.0,-51.6875,-384.75,-63.5625,122.0,-42.25,84.0,94727.25,9652.75,3240.9,4512.171561182483,-372.0,-379.0,92.0,341.0,307.0,94.0,52.75,510.75,78.1875,178.5,-31.25,130.25,94740.0,9387.7,3076.5590909090906,4309.777272727273,-942.0,-820.0,-792.0,-400.0,-153.0,-334.0,-51.6875,-384.75,-63.5625,122.0,-46.875,84.0,94724.0,kitchen_sink,WASHHANDS
9715.046774193546,3147.2107038123163,859.0644192133005,-618.1290322580645,-593.2903225806451,-364.51612903225805,23.387096774193548,15.451612903225806,-26.129032258064516,-3.8649193548387095,0.7620967741935484,-5.122983870967742,105.86693548387096,-40.27217741935484,118.46975806451613,94728.79838709677,9729.65,3178.672727272727,886.3581917955847,-635.0,-690.0,-384.0,-1.0,-65.0,46.0,-1.3125,-4.25,-13.25,105.125,-41.625,121.5,94731.0,87.4793003472667,90.94835762232807,85.0477480235156,270.4311054514605,406.18708280367457,566.7200291130086,275.8250263505658,352.83214505008635,553.2499580922101,50.134119849841575,178.6575601734325,54.1750814390226,22.82776168679339,6.927386554524472,19.372727494199573,7.133085866474246,9800.0,3200.0,900.0,-1115.0,-1365.0,-651.0,-463.0,-598.0,-1064.0,-97.0,-312.5,56.5,90.9375,-50.5,121.5,94720.0,9820.3,3269.7,979.5451031390119,-34.0,90.0,1131.0,587.0,676.0,1345.0,92.9375,387.9375,102.125,157.4375,-24.125,146.5625,94737.5,9567.95,2922.9,720.9894835666316,-1115.0,-1365.0,-1616.0,-463.0,-598.0,-1064.0,-97.0,-312.5,-91.625,50.625,-50.5,72.75,94718.5,kitchen_sink,WASHHANDS
9633.306451612903,3113.505131964809,791.5344239339219,-682.7741935483871,-541.3870967741935,-380.4193548387097,-30.0,39.25806451612903,-43.25806451612903,-3.2016129032258065,-4.320564516129032,-6.006048387096774,111.08870967741936,-41.36491935483871,118.46975806451613,94724.29838709677,9613.65,3087.6227272727274,861.3485430285989,-749.0,-612.0,-406.0,-82.0,75.0,4.0,3.375,-0.625,-8.5625,110.375,-42.1875,120.5,94721.75,95.8757387993572,84.4627078919326,150.4797869017093,318.6043219708336,446.4475092265872,562.5284451589122,325.4865076568715,383.57397963034765,533.5824189846048,43.50994770618739,164.81835230250414,57.06323328033484,22.520030286678196,6.754321471098798,22.231991020400823,5.27944889597023,9550.0,3100.0,900.0,-1238.0,-216.0,-651.0,-663.0,-598.0,-330.0,-97.0,-312.5,-91.625,59.3125,-51.0625,114.1875,94718.5,9809.15,3269.7,979.5451031390119,158.0,189.0,1131.0,601.0,676.0,1345.0,78.3125,387.9375,102.125,158.1875,-28.5625,146.8125,94734.75,9486.3,2999.3727272727274,564.8508967892533,-1238.0,-1365.0,-1447.0,-663.0,-598.0,-1064.0,-97.0,-312.5,-91.625,59.3125,-51.0625,72.75,94718.5,kitchen_sink,WASHHANDS
