MEAN_POS_X,MEAN_POS_Y,MEAN_POS_Z,MEAN_ACC_X,MEAN_ACC_Y,MEAN_ACC_Z,MEAN_LINACC_X,MEAN_LINACC_Y,MEAN_LINACC_Z,MEAN_GYRO_X,MEAN_GYRO_Y,MEAN_GYRO_Z,MEAN_Heading,MEAN_Roll,MEAN_Pitch,MEAN_Pressure,MEDIAN_POS_X,MEDIAN_POS_Y,MEDIAN_POS_Z,MEDIAN_ACC_X,MEDIAN_ACC_Y,MEDIAN_ACC_Z,MEDIAN_LINACC_X,MEDIAN_LINACC_Y,MEDIAN_LINACC_Z,MEDIAN_GYRO_X,MEDIAN_GYRO_Y,MEDIAN_GYRO_Z,MEDIAN_Heading,MEDIAN_Roll,MEDIAN_Pitch,MEDIAN_Pressure,STD_POS_X,STD_POS_Y,STD_POS_Z,STD_ACC_X,STD_ACC_Y,STD_ACC_Z,STD_LINACC_X,STD_LINACC_Y,STD_LINACC_Z,STD_GYRO_X,STD_GYRO_Y,STD_GYRO_Z,STD_Heading,STD_Roll,STD_Pitch,STD_Pressure,MODE_POS_X,MODE_POS_Y,MODE_POS_Z,MODE_ACC_X,MODE_ACC_Y,MODE_ACC_Z,MODE_LINACC_X,MODE_LINACC_Y,MODE_LINACC_Z,MODE_GYRO_X,MODE_GYRO_Y,MODE_GYRO_Z,MODE_Heading,MODE_Roll,MODE_Pitch,MODE_Pressure,MAX_POS_X,MAX_POS_Y,MAX_POS_Z,MAX_ACC_X,MAX_ACC_Y,MAX_ACC_Z,MAX_LINACC_X,MAX_LINACC_Y,MAX_LINACC_Z,MAX_GYRO_X,MAX_GYRO_Y,MAX_GYRO_Z,MAX_Heading,MAX_Roll,MAX_Pitch,MAX_Pressure,MIN_POS_X,MIN_POS_Y,MIN_POS_Z,MIN_ACC_X,MIN_ACC_Y,MIN_ACC_Z,MIN_LINACC_X,MIN_LINACC_Y,MIN_LINACC_Z,MIN_GYRO_X,MIN_GYRO_Y,MIN_GYRO_Z,MIN_Heading,MIN_Roll,MIN_Pitch,MIN_Pressure,ACTIVITY
9145.925806451613,4423.356451612903,351.6582147790892,-672.1290322580645,-561.0967741935484,-30.774193548387096,-31.129032258064516,-52.41935483870968,42.645161290322584,15.536290322580646,-60.086693548387096,42.19556451612903,102.79233870967742,-42.641129032258064,78.8225806451613,93084.83870967742,9112.45,4433.25,342.4363636363636,-633.0,-714.0,-106.0,-9.0,-56.0,24.0,20.625,-41.5,7.6875,123.625,-41.5,98.375,93081.75,180.78195884866756,60.34347899308796,77.8142199992728,178.59651768450655,456.4361477679515,327.689355912722,166.51501272367483,161.43704122527114,167.89035080216232,62.620926294220816,74.94391249568768,104.55008860132878,46.29527172552057,13.107319120099618,56.58226886756675,7.009383112150684,9350.0,4450.0,250.0,-997.0,-1259.0,-19.0,-62.0,-58.0,-14.0,33.3125,-243.125,-166.75,137.375,-75.75,-48.9375,93077.5,9383.35,4522.0,486.29274981217134,-313.0,507.0,591.0,369.0,380.0,384.0,103.4375,93.8125,241.4375,142.1875,-22.25,132.4375,93097.5,8919.1,4319.9,232.1863636363636,-997.0,-1259.0,-553.0,-532.0,-369.0,-302.0,-204.25,-243.125,-166.75,11.0625,-75.75,-48.9375,93077.5,OPENFRIDGE
9271.801666666666,4493.176666666666,397.2543939393938,-748.8333333333334,-230.26666666666668,411.8666666666667,-28.333333333333332,-133.56666666666666,15.066666666666666,-4.547916666666667,-56.84791666666667,24.239583333333332,62.35,-49.233333333333334,13.808333333333334,93078.73333333334,9100.5,4542.475,340.5113636363636,-760.5,-123.5,471.5,-18.5,-133.0,-11.5,-1.28125,-40.0,0.84375,54.125,-50.15625,-6.46875,93081.75,359.3269439793517,118.53523827387232,135.78543584969074,185.65356750258474,475.0897507464961,269.4948957783333,182.19548677807268,131.67113770962538,154.58084222053262,57.018653092360516,76.87399193923683,119.21419604030352,39.485499711919566,11.343741786989206,50.25786129678059,6.9715967266860925,8950.0,4600.0,250.0,-1055.0,-1259.0,591.0,-532.0,-217.0,-41.0,-204.25,-243.125,-166.75,137.375,-51.25,-48.9375,93077.5,9923.2,4629.55,641.7,-313.0,507.0,933.0,369.0,171.0,384.0,88.5625,69.6875,241.4375,138.0,-22.25,98.5625,93087.0,8919.1,4319.9,232.1863636363636,-1055.0,-1259.0,-172.0,-532.0,-369.0,-238.0,-204.25,-243.125,-166.75,11.0625,-75.75,-48.9375,93064.5,OPENFRIDGE
9701.058333333332,4605.613333333333,519.2362121212121,-803.9333333333333,-138.43333333333334,377.8333333333333,-37.666666666666664,-191.76666666666668,23.133333333333333,7.522916666666666,50.43125,-48.89375,49.17916666666667,-54.46875,-6.770833333333333,93075.825,9788.075,4606.175,544.675,-771.5,-111.5,471.5,-33.0,-224.5,5.0,1.8125,30.96875,-18.0,51.84375,-52.5625,-7.78125,93082.0,262.63078157017486,29.932561941267597,101.6119322638988,181.97061781267448,453.39011772487356,298.95600914231323,218.4821200501524,139.25607355870875,179.96412158391811,80.09179553552839,89.70186093423399,106.10352371693818,27.665502827445636,11.974478405421111,54.15008062819694,8.120097990745576,9900.0,4600.0,550.0,-689.0,0.0,-470.0,-924.0,-234.0,-41.0,-209.875,-88.625,-239.375,11.0,-49.75,-91.0625,93066.75,9981.75,4657.6,660.7,-433.0,815.0,933.0,224.0,262.0,466.0,238.4375,302.625,117.5,140.25,-24.25,97.75,93083.25,9124.45,4554.4,343.6363636363636,-1348.0,-1362.0,-470.0,-924.0,-415.0,-547.0,-209.875,-88.625,-239.375,11.0,-82.6875,-91.0625,93064.5,OPENFRIDGE
9454.761666666665,4520.432424242424,453.3083333333334,-786.1,-454.56666666666666,-57.4,-52.13333333333333,-124.33333333333333,-42.166666666666664,-13.13125,62.55,-25.48125,84.88958333333333,-51.74583333333333,50.458333333333336,93077.06666666667,9481.775,4577.200000000001,405.70000000000005,-757.5,-534.0,-101.5,-71.0,-129.5,11.5,-14.90625,59.40625,-10.53125,111.15625,-52.625,89.25,93079.5,427.05743994733064,148.68813079876074,109.39792209724737,200.52643647194736,530.4576867868581,312.65940486138567,255.5994621619366,256.4321962320017,245.92991478977447,94.85993297004745,106.4152864979042,119.34937230551247,46.866420718721365,14.21108696814188,75.42174940800808,6.077776552004191,9950.0,4650.0,400.0,-689.0,-142.0,-472.0,-924.0,-685.0,-547.0,-209.875,-132.625,-239.375,11.0,-82.6875,-91.0625,93066.75,9981.75,4674.8,660.7,-336.0,815.0,486.0,400.0,470.0,466.0,238.4375,302.625,229.4375,146.0,-24.25,128.125,93083.25,8864.65,4178.004545454545,320.0,-1348.0,-1362.0,-472.0,-924.0,-685.0,-547.0,-209.875,-132.625,-239.375,11.0,-82.6875,-91.0625,93066.75,OPENFRIDGE
9198.746774193549,4407.683870967741,348.0543988269795,-754.6129032258065,-439.93548387096774,45.87096774193548,-30.70967741935484,-101.90322580645162,15.483870967741936,5.754032258064516,-52.288306451612904,30.157258064516128,92.9899193548387,-48.42338709677419,62.193548387096776,93084.54032258065,9170.3,4361.0,330.8590909090909,-709.0,-619.0,-50.0,-16.0,-151.0,27.0,7.875,-57.375,2.8125,119.6875,-47.5625,81.6875,93085.75,171.04803415779807,121.98996296628717,47.19665939122474,254.750947321674,443.4489023915361,389.1133289874544,240.97540587487168,204.39558945644427,249.57695820030366,76.94592584427234,65.93649422104038,107.51359031217642,45.52265660948344,9.494443408918782,65.565976144816,2.8875427660567126,9000.0,4300.0,300.0,-1354.0,-828.0,-844.0,-705.0,-433.0,-45.0,-8.25,-219.375,-101.4375,16.5625,-73.25,78.6875,93080.5,9454.35,4679.4,448.6090909090909,-279.0,358.0,632.0,512.0,603.0,391.0,154.6875,119.125,285.0,135.125,-35.375,133.375,93087.25,8964.1,4296.55,287.2090909090909,-1354.0,-1022.0,-844.0,-705.0,-433.0,-727.0,-204.75,-219.375,-101.4375,16.5625,-73.25,-46.625,93075.25,OPENFRIDGE
9375.783333333333,4570.003333333332,418.59439393939397,-851.5,-107.2,431.23333333333335,-74.43333333333334,-154.06666666666666,-10.133333333333333,-14.445833333333333,-33.454166666666666,33.83958333333333,53.06458333333333,-53.141666666666666,-2.591666666666667,93077.125,9324.3,4631.799999999999,448.4840909090909,-835.0,-104.5,472.0,-53.0,-183.0,-45.0,-4.71875,-29.03125,4.625,46.71875,-52.53125,-13.40625,93075.25,349.63544569316394,139.6147173433037,82.45336879747278,211.9562007455379,359.3647076487176,225.41604191810083,213.29640754420683,167.7637775488835,160.1608530527192,63.48718165264073,76.60466367739262,110.63750377822748,30.235188394936436,7.328902053929494,40.88927546948638,7.582235931711564,9000.0,4700.0,450.0,-1354.0,-863.0,526.0,-705.0,-287.0,-45.0,-8.25,-219.375,-101.4375,16.5625,-54.75,-15.9375,93072.75,9877.7,4714.1,545.6,-427.0,514.0,797.0,283.0,380.0,372.0,79.5625,149.8125,285.0,134.3125,-40.0,80.5,93087.25,8964.1,4307.9,287.2090909090909,-1354.0,-863.0,-380.0,-705.0,-495.0,-519.0,-204.75,-219.375,-101.4375,16.5625,-73.25,-46.625,93065.0,OPENFRIDGE
9681.758333333331,4645.08,471.1615151515152,-868.3666666666667,-147.26666666666668,274.43333333333334,-61.96666666666667,-188.03333333333333,-28.4,11.7625,54.15416666666667,-18.775,54.947916666666664,-56.53333333333333,2.15,93076.40833333334,9733.85,4668.2,460.775,-850.5,-118.5,441.0,-54.5,-235.5,-58.5,-3.1875,18.4375,-2.6875,47.15625,-54.84375,-12.6875,93075.25,188.39452783405392,53.0863424867517,37.3074438010889,268.09332952039915,409.6059446407699,372.77872546715906,291.4184671370463,189.17907650822738,257.55248544446374,87.36937355472357,104.6869303038196,130.79747275582332,36.718399515324116,9.634675686016248,58.321852421091585,7.777200135911574,9900.0,4700.0,450.0,-1697.0,-1186.0,526.0,-821.0,-287.0,-683.0,-127.8125,-2.4375,-266.125,5.375,-54.75,-15.9375,93065.0,9910.35,4714.1,545.6,-437.0,574.0,797.0,490.0,380.0,739.0,316.75,470.8125,264.25,138.0,-35.0,102.6875,93088.0,9330.25,4546.9,404.3,-1697.0,-1186.0,-861.0,-821.0,-495.0,-683.0,-127.8125,-47.0,-266.125,5.375,-78.8125,-85.0,93065.0,OPENFRIDGE
9357.509677419355,4510.173313782992,432.532991202346,-760.6774193548387,-452.0967741935484,-93.19354838709677,-68.38709677419355,-174.32258064516128,41.41935483870968,-9.34274193548387,49.32258064516129,-34.560483870967744,90.43951612903226,-52.36693548387097,67.11290322580645,93081.26612903226,9295.35,4567.5,430.2,-670.0,-523.0,-179.0,-20.0,-109.0,12.0,-6.125,27.3125,-16.3125,114.125,-53.375,93.8125,93079.75,349.82546491532844,156.63647292747527,39.77456321247848,327.0262361642946,438.38554985603787,344.575915133839,381.197820684515,325.45449114500116,343.133674068241,99.37393195307567,110.98229623361082,126.32072017194196,45.4923771197776,14.377886865334753,73.48042968510045,5.216534403490088,8950.0,4600.0,450.0,-1697.0,-726.0,-861.0,-1241.0,-1625.0,-683.0,-127.8125,-117.4375,-266.125,111.5,-35.0,-85.0,93076.75,9910.35,4690.45,502.35,-215.0,574.0,585.0,490.0,267.0,1088.0,316.75,470.8125,264.25,138.0,-32.6875,134.0,93088.0,8931.8,4201.9409090909085,343.1545454545454,-1697.0,-1186.0,-861.0,-1241.0,-1625.0,-683.0,-127.8125,-117.4375,-266.125,5.375,-78.8125,-85.0,93065.0,OPENFRIDGE
9292.165625,4372.6046875,408.7855113636364,-721.4375,-490.375,-56.78125,-39.0,-93.9375,1.8125,4.984375,-58.544921875,30.16015625,93.07421875,-46.25,76.025390625,93086.2578125,9294.95,4345.65,409.175,-603.0,-613.5,-210.5,0.0,-101.0,6.5,2.1875,-58.0,-2.8125,109.59375,-43.46875,95.0625,93088.5,183.54554345496217,98.06580358186659,80.0971362550102,312.29865126293,441.267510846915,413.8960235938178,284.7417618961819,224.8424448363787,303.5111134171893,87.66065177120014,93.16524654561373,114.14118412599579,44.24718199263445,12.357585906457777,62.69674046522241,6.6927031687984755,9500.0,4300.0,350.0,-1535.0,-418.0,-479.0,-38.0,0.0,-702.0,-207.0625,-187.875,-155.625,7.0625,-33.75,-49.75,93088.25,9537.5,4592.15,590.4136363636364,-274.0,514.0,886.0,393.0,535.0,720.0,199.8125,189.25,340.4375,136.5,-30.5,135.75,93092.75,9043.3,4275.7,312.3,-1535.0,-1156.0,-820.0,-913.0,-528.0,-702.0,-207.0625,-187.875,-155.625,7.0625,-82.0625,-49.75,93073.25,OPENFRIDGE
9308.109999999999,4502.527878787879,473.29075757575754,-813.4333333333333,-199.23333333333332,408.3333333333333,-47.2,-161.36666666666667,-2.0,-23.702083333333334,-50.62291666666667,18.233333333333334,54.87083333333333,-53.454166666666666,10.145833333333334,93079.94166666667,9233.325,4563.061363636363,443.7136363636364,-833.0,-100.5,447.5,-15.0,-139.5,-33.5,-10.28125,-6.15625,-4.59375,44.34375,-56.0,-7.125,93075.5,232.83585730783795,101.57863474364393,79.23665636741276,268.1018441760047,414.3547275341324,271.88769655913063,263.6168065386863,166.76919490066533,233.52855544214833,64.69014067434814,80.14591267000665,120.66478142181633,38.21921278067764,9.73397408239726,46.878845627692854,9.086434406844361,9050.0,4550.0,400.0,-833.0,-1156.0,393.0,6.0,-528.0,-39.0,-207.0625,-187.875,-155.625,44.125,-57.875,-5.5625,93071.75,9736.95,4601.672727272728,611.2636363636364,-274.0,514.0,886.0,393.0,190.0,720.0,90.5625,82.5,340.4375,129.875,-36.875,100.0625,93092.75,9043.3,4304.2,347.3,-1514.0,-1156.0,-237.0,-913.0,-528.0,-454.0,-207.0625,-187.875,-155.625,7.0625,-82.0625,-49.75,93069.25,OPENFRIDGE
