1675274734.334028,9005.0,8699.0,2588.0,16.625,-3.25,-76.4375,-56.0,948.0,227.0
1675274734.4396942,9027.0,8730.0,2765.0,16.5,-3.1875,-76.4375,-57.0,953.0,228.0
1675274734.5453959,8995.0,8669.0,2709.0,16.5,-3.25,-76.3125,-50.0,951.0,224.0
1675274734.6504471,9052.0,8645.0,2739.0,16.625,-3.1875,-76.3125,-53.0,951.0,222.0
1675274734.7543108,8971.0,8689.0,2661.0,16.625,-3.125,-76.5,-51.0,949.0,230.0
1675274734.8610098,9003.0,8686.0,2850.0,16.5,-3.125,-76.625,-51.0,954.0,223.0
1675274734.9701629,8900.0,8620.0,3338.0,16.3125,-3.1875,-76.6875,-54.0,952.0,229.0
1675274735.072324,8925.0,8679.0,3231.0,16.3125,-3.1875,-76.6875,-53.0,951.0,225.0
1675274735.1781938,8905.0,8789.0,3315.0,16.3125,-3.1875,-76.75,-48.0,948.0,223.0
1675274735.2838678,9196.0,8962.0,1273.0,16.3125,-3.1875,-76.875,-51.0,950.0,222.0
1675274735.385781,9023.0,9144.0,2532.0,16.375,-3.1875,-76.9375,-51.0,950.0,219.0
1675274735.490409,9013.0,9062.0,2647.0,16.4375,-3.125,-77.0,-46.0,949.0,211.0
1675274735.59936,9076.0,8992.0,3331.0,16.4375,-3.125,-77.125,-51.0,952.0,207.0
1675274735.7011871,8982.0,9053.0,3186.0,16.4375,-3.125,-77.25,-47.0,955.0,217.0
1675274735.8026502,9050.0,9109.0,2763.0,16.3125,-3.1875,-77.3125,-51.0,955.0,211.0
1675274735.912204,9018.0,9095.0,2765.0,16.375,-3.125,-77.3125,-51.0,952.0,215.0
1675274736.0208158,9035.0,9094.0,2606.0,16.4375,-3.125,-77.3125,-50.0,955.0,214.0
1675274736.1248808,8992.0,8944.0,3519.0,16.4375,-3.125,-77.1875,-53.0,957.0,213.0
1675274736.234889,9000.0,8977.0,3414.0,16.375,-3.125,-77.125,-50.0,949.0,217.0
1675274736.339945,9045.0,9094.0,2535.0,16.4375,-3.125,-77.0625,-50.0,952.0,231.0
1675274736.443358,9069.0,9163.0,2277.0,16.875,-3.1875,-76.9375,-41.0,952.0,247.0
1675274736.551157,9063.0,9154.0,2493.0,16.9375,-3.3125,-76.3125,-51.0,947.0,170.0
1675274736.661563,9029.0,8978.0,3394.0,16.0625,-3.3125,-76.3125,-44.0,960.0,248.0
1675274736.7667542,9055.0,9104.0,2640.0,15.1875,-3.5625,-76.5625,-59.0,966.0,227.0
1675274736.8770041,9024.0,9122.0,2526.0,15.6875,-3.5,-77.0625,-102.0,941.0,231.0
1675274736.984693,9312.0,8735.0,3753.0,16.9375,-4.125,-76.6875,14.0,931.0,216.0
1675274737.088772,9154.0,9084.0,1910.0,16.625,-4.0,-76.5,-114.0,935.0,230.0
1675274737.193623,9348.0,9101.0,1307.0,17.0625,-4.25,-75.75,-20.0,944.0,235.0
1675274737.297633,9329.0,9055.0,1330.0,16.625,-4.5,-75.9375,-96.0,943.0,252.0
1675274737.402451,9309.0,9076.0,3273.0,15.1875,-4.9375,-76.5,-117.0,947.0,203.0
1675274737.505711,9153.0,9200.0,2710.0,15.0625,-5.25,-77.0,-74.0,955.0,210.0
1675274737.611098,9313.0,9055.0,1254.0,15.125,-5.25,-77.3125,-82.0,958.0,216.0
1675274737.715826,9145.0,9161.0,2282.0,15.1875,-5.0,-77.3125,-52.0,948.0,209.0
1675274737.820574,9092.0,9133.0,2632.0,15.25,-4.9375,-77.375,-69.0,963.0,225.0
1675274737.926249,9139.0,9156.0,2446.0,15.1875,-4.8125,-77.25,-50.0,923.0,204.0
1675274738.029705,9149.0,9099.0,2699.0,14.625,-4.75,-77.125,-56.0,1043.0,183.0
1675274738.136169,9062.0,9070.0,2971.0,14.6875,-4.8125,-77.0,-117.0,994.0,201.0
1675274738.2420092,9091.0,9143.0,2292.0,14.5,-5.0625,-77.125,-105.0,926.0,235.0
1675274738.3518138,9093.0,8984.0,3311.0,14.875,-5.125,-76.875,-73.0,913.0,233.0
1675274738.459878,9119.0,9027.0,3096.0,15.0625,-5.0625,-77.125,-107.0,932.0,224.0
1675274738.566668,9064.0,8908.0,3423.0,16.0625,-5.375,-77.4375,-56.0,969.0,217.0
1675274738.67225,9114.0,9162.0,2838.0,16.875,-5.625,-78.0625,-92.0,910.0,197.0
1675274738.778441,9032.0,8991.0,3121.0,19.0625,-7.25,-78.5625,-89.0,952.0,193.0
1675274738.881418,9153.0,9147.0,2484.0,18.75,-6.9375,-78.0,-126.0,877.0,202.0
1675274738.989579,9379.0,8892.0,3317.0,15.75,-4.25,-77.8125,-111.0,945.0,194.0
1675274739.098361,9302.0,9011.0,1225.0,15.0,-2.75,-78.1875,-34.0,969.0,191.0
1675274739.2032719,9242.0,9040.0,2664.0,14.875,-2.125,-78.4375,-29.0,974.0,216.0
1675274739.3070772,9146.0,9006.0,2810.0,14.5,-2.0625,-78.6875,-26.0,968.0,180.0
1675274739.414573,9439.0,8813.0,3363.0,14.8125,-2.75,-78.75,-44.0,962.0,179.0
1675274739.520287,9371.0,8820.0,3545.0,15.125,-3.125,-78.3125,-30.0,953.0,193.0
1675274739.6244931,9380.0,8768.0,3693.0,15.125,-3.25,-78.0625,-42.0,947.0,197.0
1675274739.7273011,9310.0,8863.0,3514.0,15.0625,-3.3125,-78.0,-66.0,968.0,187.0
1675274739.82932,9255.0,8903.0,3290.0,15.25,-3.375,-77.875,-40.0,984.0,222.0
1675274739.9327,9076.0,9063.0,2379.0,16.375,-4.3125,-77.5,-78.0,934.0,200.0
