1675975307.4050949,7716.0,5909.0,-742.0,105.1875,-10.9375,-81.6875,-4.0,5.0,22.0,-0.8125,-1.5,-8.9375,0x684a
1675975307.5325491,7692.0,5920.0,-752.0,105.5625,-10.875,-81.5625,-5.0,0.0,-8.0,5.6875,1.1875,-1.0,0x684a
1675975307.6562188,7318.0,6097.0,-1310.0,106.125,-10.8125,-82.0,55.0,7.0,23.0,-2.6875,-9.6875,-5.3125,0x684a
1675975307.794283,7396.0,5870.0,-1222.0,106.625,-11.25,-82.75,-29.0,14.0,54.0,3.1875,3.6875,-0.75,0x684a
1675975307.9332612,6494.0,5973.0,-951.0,106.3125,-11.5,-82.8125,-6.0,8.0,25.0,0.125,-4.0,-9.6875,0x684a
1675975308.071848,6389.0,6158.0,-1118.0,107.5,-11.625,-82.0,7.0,15.0,-19.0,-4.0625,-6.4375,-0.5,0x684a
1675975308.1957529,6193.0,6020.0,1453.0,107.6875,-11.4375,-81.125,67.0,-7.0,17.0,-9.75,10.1875,-0.9375,0x684a
1675975308.323105,6233.0,6115.0,1528.0,114.75,-9.125,-73.9375,74.0,-120.0,-297.0,-36.5625,-26.875,215.4375,0x684a
1675975308.459758,6443.0,6236.0,1457.0,109.8125,-12.5625,-76.8125,-2.0,74.0,191.0,60.625,8.25,17.8125,0x684a
1675975308.582688,6297.0,5855.0,-1109.0,107.0625,-11.3125,-81.3125,-12.0,0.0,21.0,-9.5,22.4375,41.1875,0x684a
1675975308.711185,6309.0,5784.0,-1047.0,103.875,-10.125,-81.0,30.0,-20.0,22.0,-0.5625,3.25,10.75,0x684a
1675975308.8338702,6187.0,5942.0,1616.0,103.5625,-10.0,-81.25,4.0,14.0,14.0,3.5,-1.3125,-2.3125,0x684a
1675975308.95938,6228.0,5998.0,-1402.0,103.625,-10.0,-81.4375,-8.0,12.0,-6.0,0.8125,0.5625,-13.625,0x684a
1675975309.078642,5876.0,6526.0,-1450.0,104.3125,-9.75,-81.25,-4.0,2.0,8.0,-0.5625,1.0625,0.9375,0x684a
1675975309.2050838,5735.0,6804.0,2127.0,103.9375,-9.75,-81.25,0.0,16.0,5.0,1.6875,-0.625,0.1875,0x684a
1675975309.342686,6445.0,6207.0,-1096.0,103.9375,-9.9375,-81.375,-7.0,-5.0,5.0,-0.25,-2.1875,2.125,0x684a
1675975309.4811451,6269.0,6237.0,1426.0,103.75,-10.4375,-81.3125,1.0,3.0,-11.0,1.25,-8.6875,-4.1875,0x684a
1675975309.604689,5743.0,6692.0,2148.0,105.5625,-11.0625,-81.375,-9.0,17.0,17.0,2.6875,0.0,-19.5625,0x684a
1675975309.732128,6090.0,6127.0,1769.0,107.6875,-11.125,-81.3125,-9.0,-3.0,7.0,1.0,-2.5,-5.6875,0x684a
1675975309.8729541,6299.0,6160.0,1628.0,108.625,-11.1875,-81.375,-4.0,4.0,10.0,1.6875,0.3125,-4.375,0x684a
1675975310.010586,6144.0,6068.0,1769.0,108.8125,-11.1875,-81.5625,-1.0,-12.0,-12.0,-0.6875,-0.6875,3.8125,0x684a
1675975310.132515,6139.0,6115.0,1850.0,108.9375,-11.3125,-81.625,-1.0,-6.0,14.0,0.75,2.0625,-1.125,0x684a
1675975310.2622988,5949.0,6698.0,1744.0,107.25,-10.625,-81.4375,-2.0,6.0,2.0,1.625,4.375,-1.9375,0x684a
1675975310.39922,5792.0,6956.0,1797.0,106.75,-10.125,-81.4375,-4.0,29.0,-2.0,-0.25,8.5625,-2.1875,0x684a
1675975310.530039,6131.0,6253.0,1720.0,106.0625,-9.0,-81.5625,14.0,-7.0,22.0,-0.8125,2.3125,8.25,0x684a
1675975310.6541471,6019.0,6471.0,1662.0,105.3125,-8.6875,-81.625,-3.0,-2.0,-11.0,-1.125,-0.9375,-1.1875,0x684a
1675975310.779614,5736.0,6787.0,1943.0,105.875,-8.75,-81.625,-1.0,-2.0,17.0,1.5,-1.375,-7.25,0x684a
1675975310.916031,5622.0,6904.0,2012.0,106.375,-8.8125,-81.5625,-2.0,-7.0,4.0,-1.125,0.0625,0.0,0x684a
1675975311.0413282,5594.0,7065.0,2027.0,106.1875,-8.6875,-81.5625,0.0,4.0,1.0,-0.5625,2.0,3.75,0x684a
1675975311.1630468,5512.0,7103.0,2110.0,105.625,-8.5,-81.5625,-2.0,2.0,-1.0,-0.3125,1.0625,-0.375,0x684a
1675975311.285939,5588.0,7075.0,2142.0,105.375,-8.375,-81.4375,0.0,2.0,-7.0,-1.625,1.0625,1.0625,0x684a
1675975311.4106581,6020.0,6307.0,-1505.0,105.3125,-8.375,-81.3125,-2.0,2.0,-3.0,0.1875,0.375,1.0625,0x684a
1675975311.535598,6026.0,6391.0,-1591.0,105.0625,-8.375,-81.3125,-4.0,-1.0,4.0,-1.1875,-0.25,-1.0625,0x684a
1675975311.676319,6224.0,6493.0,1529.0,105.125,-8.375,-81.1875,2.0,0.0,9.0,0.125,0.5625,-0.375,0x684a
1675975311.815507,6117.0,6458.0,-1493.0,105.1875,-8.375,-81.1875,-1.0,-2.0,5.0,0.8125,-0.625,-2.375,0x684a
1675975311.9510632,6196.0,6231.0,-1523.0,105.1875,-8.25,-81.1875,-2.0,3.0,4.0,-0.8125,1.125,-0.5625,0x684a
1675975312.074836,5880.0,6552.0,2012.0,105.0625,-8.1875,-81.0625,-1.0,7.0,7.0,0.9375,1.0,-4.1875,0x684a
1675975312.201151,6171.0,6476.0,1526.0,105.125,-8.0,-81.0625,10.0,10.0,25.0,2.25,-0.875,-10.6875,0x684a
